year,gdp_real_2015_usd,population,co2_mt,energy_ej,gdp_per_capita,energy_intensity,carbon_intensity,population_pp,gdp_per_capita_pp,energy_intensity_pp,carbon_intensity_pp,co2_growth_pct,sum_factors
2012,176290606021.546,10510785,109.3106721,1.810153834,16772.353922332728,1.0268010728709876e-11,60.38750411529941,0.13992565574097246,-0.913578839817441,0.46289354778811154,-3.0740404883697847,-3.3848001246581445,-3.384800124658142
2013,176216894659.909,10514272,104.9800429,1.775766853,16759.78086356421,1.0077165736163683e-11,59.1181453368417,0.033169946050285365,-0.07499110592283745,-1.8761261739180777,-2.124429304389072,-4.042376638179708,-4.042376638179702
2014,180173337874.854,10525347,101.9735914,1.744298769,17118.042557157878,9.681225810511247e-12,58.461080872321595,0.10527758152751804,2.115100755993421,-4.008351954923724,-1.1176656380596945,-2.9056392554624746,-2.9056392554624795
2015,189107698561.919,10546059,102.7730637,1.706643396,17931.598767076783,9.024716650767122e-12,60.21941311282582,0.19658874847265256,4.643142323414018,-7.022141889924684,2.9633528683261616,0.7809420502881805,0.7809420502881492
2016,193988322685.058,10566332,104.8118652,1.681040797,18359.097810390398,8.665680355044807e-12,62.34938818085091,0.19204841584268426,2.3560794321168017,-4.0596669999261685,3.4759082133642947,1.964369061397611,1.964369061397612
2017,204024435232.921,10594438,104.7891617,1.783964414,19257.693068091106,8.743876251701752e-12,58.73949103336766,0.26564266354898525,4.778537568250889,0.8983160717021498,-5.964159842488021,-0.02166353898602361,-0.021663538985997377
2018,209798950825.42,10629928,103.7655695,1.783488901,19736.629526128494,8.500942897870326e-12,58.18122526123867,0.33442726229979447,2.4565655269935807,-2.8176511901653267,-0.9549548315299243,-0.9816132324018688,-0.9816132324018758
2019,217279912681.73,10671870,98.22707231,1.742633098,20360.0599221814,8.02022182580953e-12,56.36704158938223,0.39378886420217485,3.109885874086291,-5.821100593088832,-3.1678093969632446,-5.485235251763623,-5.48523525176361
2020,205753475017.539,10697858,88.43385772,1.615633089,19233.146954982858,7.852276073890265e-12,54.73634968366262,0.24322268221187898,-5.693994039385437,-2.116264508772723,-2.935660194667138,-10.502696060613394,-10.502696060613419
2021,214043320221.167,10505772,92.85002334,1.703325726,20373.878304342317,7.957855093258622e-12,54.5110203660483,-1.8118714100254296,5.761841064704468,1.3356067412661228,-0.4125126985506304,4.873063697394526,4.873063697394531
2022,220137498830.73,10672118,90.15230134,1.64106081,20627.34865101098,7.454708165199325e-12,54.935381303755584,1.5709725672011048,1.2364194662142414,-6.531370163273683,0.7754719348160137,-2.948506195042303,-2.9485061950423237
2023,220242240981.103,10864042,79.24815633,1.502041567,20272.587401733443,6.81995225034455e-12,52.76029510174002,1.782389070459459,-1.734820055412195,-8.899333085150454,-4.039868800839464,-12.891632870942674,-12.891632870942654
2024,222958017484.654,10905028,71.53975362,1.429646675,20445.43283012698,6.4121788089473004e-12,50.04016367890339,0.3765530491574936,0.8489924884166488,-6.16533494460026,-5.29329645642558,-10.233085863451679,-10.233085863451697
